Month and Year,industries,number
November 2001,Telecommunications,40
November 2001,Information technology services,5
November 2001,Information service activities,9
November 2001,Financial services; excluding the activities of insurance companies and pension funds,14
November 2001,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,46
November 2001,Activities related to financial services and insurance,3
November 2001,Real estate,49
November 2001,Legal services and accounting,3
November 2001,Headquarters operations; operations consultancy activities,5
November 2001,Activities of architects and engineers; technical tests and analysis,8
November 2001,Scientific research and development,19
November 2001,Advertising and marketing research,1
November 2001,Other professional; scientific and technical activities,10
November 2001,Veterinary medicine,9
November 2001,Rental activities; except real estate leasing,15
November 2001,Employment agency,2
November 2001,Travel agencies; tour operators and other booking services,
November 2001,Security and research activities,9
November 2001,Real estate management; cleaning services and ornamental gardening,4
November 2001,Office services and other business services,79
November 2001,Public administration; defense and social security,8
November 2001,Educational activities,55
November 2001,Health care,24
November 2001,Care in residential homes,73
November 2001,Social services without a stay in an institution,138
November 2001,Creative arts and entertainment,70
November 2001,Museum activities and other cultural activities,61
November 2001,Financial risk and betting activities,39
November 2001,Sports and leisure activities,10
November 2001,Activities of NGOs,10
November 2001,Repair of computers and objects for personal and household use,
November 2001,Other service activities,31
November 2001,Housekeeping with paid staff,14
November 2001,Service activities and home production of various products for personal use,5
November 2001,Activities of extra territorial organisations and bodies,39
November 2001,Working from home,1
November 2001,Student,
November 2001,No work history,
November 2001,Uncertain,133
December 2001,Cultivation of crops and animal husbandry; hunting and related service activities,31
December 2001,Forestry and logging,20
December 2001,Fishing and aquaculture,131
December 2001,Coal mining,
December 2001,Crude oil and natural gas production,
December 2001,Metallurgy and metallurgy,2
December 2001,Mining and processing of other raw materials from the ground,11
December 2001,Mining services,
December 2001,Food production,267
December 2001,Manufacture of beverages,171
December 2001,Manufacture of textiles,11
December 2001,Clothing making,
December 2001,Manufacture of leather and leather products,11
December 2001,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,21
December 2001,Manufacture of paper and paper products,29
December 2001,Printing and duplication of recorded material,3
December 2001,Production of coke and refined petroleum products,11
December 2001,Manufacture of chemicals and chemical products,27
December 2001,Manufacture of pharmaceutical preparations and preparations,1
December 2001,Manufacture of rubber and plastic products,11
December 2001,Manufacture of non-metallic mineral products,2
December 2001,Manufacture of basic metals,20
December 2001,Manufacture of fabricated metal products; except machinery and equipment,14
December 2001,Manufacture of computer; electronic and optical products,10
December 2001,Manufacture of electrical and household appliances,39
December 2001,Manufacture of other machinery and equipment nec,
December 2001,Manufacture of motor vehicles and trailers,
December 2001,Manufacture of other vehicles,5
December 2001,Manufacture of furniture and fittings,
December 2001,Production; nec,11
December 2001,Repair and installation of hardware and equipment,6
December 2001,Electricity; gas and heating utilities; refrigeration and ventilation systems,35
December 2001,Water supply; collection and treatment of water,7
December 2001,Garbage collection; treatment and disposal of waste; material reuse,4
December 2001,Decontamination and other waste treatment services,
December 2001,Housing construction; development of construction projects,
December 2001,Civil engineering,14
December 2001,Specialized construction activities,
December 2001,Sale; repair and maintenance of motor vehicles and trailers,163
December 2001,Wholesale trade; except of motor vehicles and motorcycles,
December 2001,Retail trade; except of motor vehicles and motorcycles,83
December 2001,Land transport and by pipeline,57
December 2001,Transport by sea and waterways,91
December 2001,Air transportation,322
December 2001,Warehousing and support activities for transport,30
December 2001,Post and courier services,13
December 2001,Operation of accommodation,24
December 2001,Catering and service,99
December 2001,Publishing activities,28
December 2001,Production of films; videos and television material; audio recording and music publishing,76
December 2001,Radio and television broadcasting; programming,117
December 2001,Telecommunications,41
December 2001,Information technology services,3
December 2001,Information service activities,10
December 2001,Financial services; excluding the activities of insurance companies and pension funds,17
